"date","chan1_ta_che","chan2_rh_che","ta_10_avg","rh_10_avg","wd_10_avg","ws_10_avg","wd_10_max","ws_10_max","rain","rain_cum","rain_cp","rain_cp_cum","press","lst","ta_2_avg","rh_2_avg","wd_2_avg","ws_2_avg","wd_2_max","ws_2_max","snow","emc","eh","vpd","t_fuel","fmc_fs3","d_emc_rain"
2018-09-13 16:00:00,0.195642857142857,0.59675,27.4,57,36,0.3,29,0.6,0,0,NA,NA,"1008.1",24,26,59,357,0.1,352,0.2,NA,10.6125122808777,NA,1.12297053758363,30.9868556423893,9.862727978125,-0.749784302752653
2018-09-13 17:00:00,0.200433333333333,0.607,26.5,62,3,0.1,354,0.3,0,0,NA,NA,"1008.5",23.7,25.2,64,360,0.1,357,0.2,NA,11.6000289647701,NA,0.945217973690576,30.215673720321,10.04722235,-1.5528066147701
2018-09-13 18:00:00,0.21365,0.645866666666667,24.8,67,3,0.1,357,0.3,0,0,NA,NA,"1008.6",22.8,23,71,25,0.1,49,0.2,NA,13.2590086702867,NA,0.6770801095256,28.1725518118062,10.8285090026667,-2.43049966762002
2018-09-13 19:00:00,0.219233333333333,0.68265,24.4,69,4,0,12,0.1,0,0,NA,NA,"1008.9",22.2,22.5,73,23,0.1,66,0.2,NA,13.7952290550954,NA,0.613637653348228,27.3436800455317,11.664654892125,-2.13057416297038
2018-09-13 20:00:00,0.220016666666667,0.7032,24.5,69,1,0.3,4,0.5,0,0,NA,NA,"1009.5",21.9,22.5,74,72,0.2,95,0.3,NA,14.0665931471317,58.80237,0.59091033285385,27.228907725437,12.185990976,-1.8806021711317
2018-09-13 21:00:00,0.223,0.720983333333333,23.9,73,1,0.7,2,1,0,0,NA,NA,"1009.4",21.7,21.8,79,39,0.1,66,0.3,NA,15.6162830113362,61.88682,0.459546653708675,26.7951060383488,12.706870732125,-2.90941227921117
2018-09-13 22:00:00,0.226833333333333,0.746633333333333,23.1,77,1,0.5,1,0.8,0,0,NA,NA,"1009.6",21.4,21.2,82,28,0.1,47,0.2,NA,16.7162571345317,64.69383,0.381268542962231,26.2452081126304,13.5036589785,-3.21259815603173
2018-09-13 23:00:00,0.228933333333333,0.768183333333333,22.7,78,1,0.2,3,0.4,0,0,NA,NA,"1009.5",21.1,21,83,9,0,16,0.1,NA,17.1164249319322,66.60579,0.356186361977765,25.9474304308814,14.216472512125,-2.89995241980723
2018-09-14 00:00:00,0.229066666666667,0.784066666666667,22.6,78,2,0.8,360,1.3,0,0,NA,NA,"1009.4",21,21.2,81,72,0.2,86,0.4,NA,16.3426406241361,67.24332,0.402450128682355,25.9286051878446,14.7581231606667,-1.58451746346939
2018-09-14 01:00:00,0.23105,0.798116666666667,22.4,79,2,0.7,2,1.1,0,0,NA,NA,"1009.3",20.8,20.9,82,72,0.3,83,0.4,NA,16.7297579421293,67.93917,0.375088204206417,25.649709607894,15.2843044507917,-1.44545349133764
2018-09-14 02:00:00,0.232016666666667,0.808416666666667,22.3,79,1,0.5,360,0.9,0,0,NA,NA,"1009.4",20.6,20.7,83,42,0.2,61,0.3,NA,17.1299880939985,68.47416,0.350404813747435,25.5145370658049,15.6833255947917,-1.44666249920687
2018-09-14 03:00:00,0.23425,0.8229,21.7,82,1,0.5,3,0.8,0,0,NA,NA,"1009.6",20.4,20.3,85,44,0.1,63,0.3,NA,17.9889283244685,69.29739,0.302491733481179,25.2041137741298,16.2709804965,-1.71794782796847
2018-09-14 04:00:00,0.235333333333333,0.829966666666667,21.1,84,6,0.4,10,0.7,0,0,NA,NA,"1009.2",20.2,20.1,85,74,0.2,92,0.4,NA,17.9979485695374,69.82323,0.299195014649164,25.0544633358838,16.5666998351667,-1.43124873437078
2018-09-14 05:00:00,0.239366666666667,0.840133333333333,20.5,85,1,0,7,0.1,0,0,NA,NA,"1009.1",19.9,19.5,86,68,0.2,82,0.3,NA,18.477796886123,70.59216,0.270193343920402,24.5025079663855,17.018735336,-1.45906155012304
2018-09-14 06:00:00,0.239866666666667,0.849783333333333,20.9,84,1,0.7,2,1.1,0,0,NA,NA,"1009.1",19.8,19.5,87,11,0,19,0.1,NA,18.9550045020899,71.37999,0.250893819354659,24.4346451342327,17.428662149125,-1.52634235296489
2018-09-14 07:00:00,0.234883333333333,0.848716666666667,21.5,81,358,0.5,2,0.9,0,0,NA,NA,"1009",20.1,20.3,83,1,0,1,0.1,NA,17.1478652037968,70.68105,0.342823964612003,25.1165529010387,17.3400658957917,0.192200691994888
2018-09-14 08:00:00,0.22825,0.835566666666667,22.6,77,0,0.1,1,0.3,0,0,NA,NA,"1008.8",20.6,21.2,80,359,0,358,0,NA,15.9851690139208,69.19095,0.423631714402479,26.0440614011758,16.7388695531667,0.753700539245839
2018-09-14 09:00:00,0.22215,0.81785,23.4,75,2,0.3,357,0.5,0,0,NA,NA,"1009.1",21.2,22,77,360,0,359,0.1,NA,14.9640663556447,67.24788,0.508794784583297,26.9181743520584,15.982939427125,1.01887307148026
2018-09-14 10:00:00,0.214666666666667,0.785133333333333,24.4,70,7,0.4,2,0.8,0,0,NA,NA,"1009",21.9,23.1,72,353,0.2,347,0.4,NA,13.5082181559118,64.33731,0.657255333799463,28.0201841256749,14.702174146,1.19395599008825
2018-09-14 11:00:00,0.211333333333333,0.757383333333333,24.8,69,4,0.3,3,0.6,0,0,NA,NA,"1008.7",22.4,23.4,71,349,0.1,346,0.3,NA,13.2425556279703,61.94949,0.691777982988959,28.5222103975743,13.742976194125,0.500420566154679
2018-09-14 12:00:00,0.2042,0.7327,26,64,10,0.3,33,0.7,0,0,NA,NA,"1008.4",23.2,24.4,68,341,0.2,340,0.5,NA,12.4891606737296,59.5797,0.805240786038966,29.6211504019367,12.9288426185,0.439681944770378
2018-09-14 13:00:00,0.199566666666667,0.703716666666667,26.7,62,14,0.3,13,0.7,0,0,NA,NA,"1007.7",23.9,25.1,65,337,0.3,337,0.6,NA,11.8096050788617,57.17211,0.914105275781122,30.3539205929222,12.0844353007917,0.274830221929941
2018-09-14 14:00:00,0.20025,0.6921,26.6,62,8,0.2,8,0.6,0,0,NA,NA,"1007.3",24,25,65,353,0.1,346,0.2,NA,11.8135349659933,55.63806,0.909271069256402,30.2448722263123,11.7895502265,-0.0239847394932617
2018-09-14 15:00:00,0.201566666666667,0.682816666666667,26.3,63,357,0.4,4,0.7,0,0,NA,NA,"1006.9",23.9,24.9,66,358,0.1,1,0.3,NA,12.0286717739641,55.11633,0.878617519901016,30.0357180230624,11.5654521487917,-0.463219625172465
2018-09-14 16:00:00,0.2037,0.6882,26.1,64,358,0.3,358,0.7,0,0,NA,NA,"1006.7",23.6,24.7,67,360,0,356,0.2,NA,12.2537075139033,55.10154,0.843764925882779,29.6994870165357,11.705436306,-0.548271207903325
2018-09-14 17:00:00,0.20675,0.701483333333333,26,64,1,0.4,2,0.7,0,0,NA,NA,"1006.8",23.4,24.2,70,4,0,10,0.1,NA,12.9644977655769,56.14245,0.746909721377459,29.2243434856998,12.065512537125,-0.898985228451885
2018-09-14 18:00:00,0.2085,0.717133333333333,26,65,360,0.3,355,0.6,0,0,NA,NA,"1007",23.1,24.2,70,5,0,15,0.1,NA,12.9644977655769,57.02235,0.746909721377459,28.9546016078996,12.489400886,-0.475096879576885
2018-09-14 19:00:00,0.210616666666667,0.71935,25.8,65,0,0.4,359,0.8,0,0,NA,NA,"1007.1",22.9,23.9,70,2,0,8,0.1,NA,12.9769324642801,57.63828,0.735043494031609,28.6310806739423,12.565240152125,-0.411692312155081
2018-09-14 20:00:00,0.2115,0.725733333333333,25.6,67,1,0.4,0,0.7,0,0,NA,NA,"1007.6",22.8,23.8,71,3,0,8,0.1,NA,13.2259196832497,58.31901,0.706754043353661,28.4969396675293,12.752230624,-0.473689059249741
2018-09-14 21:00:00,0.213433333333333,0.731916666666667,25,69,357,0.1,351,0.4,0,0,NA,NA,"1008",22.6,23.5,72,354,0.1,354,0.2,NA,13.4914627348244,59.0451,0.671513133661547,28.2051081144066,12.9471299197917,-0.544332815032703
2018-09-14 22:00:00,0.226416666666667,0.796216666666667,22.2,87,4,0.5,2,0.9,0,0,NA,NA,"1008.1",21.7,21.1,90,8,0,13,0.1,NA,20.4795037261149,64.8021,0.21066588922633,26.3045797360305,15.2038352257917,-5.27566850032324
2018-09-14 23:00:00,0.233483333333333,0.871766666666667,21.9,87,360,0.6,358,1,0,0,NA,NA,"1007.8",21.1,20.3,94,7,0,12,0.1,NA,23.1524712068739,70.032,0.120996693392472,25.3103848143616,18.3572646431667,-4.79520656370722
2018-09-15 00:00:00,0.235066666666667,0.895716666666667,22.1,84,4,0.7,4,1.2,0,0,NA,NA,"1007.5",20.9,20.1,94,68,0.2,86,0.4,NA,23.1615135722793,73.69293,0.119678005859665,25.0912446759806,19.4881089307917,-3.67340464148766
2018-09-15 01:00:00,0.234916666666667,0.9044,22.2,82,2,0.6,357,1.1,0,0,NA,NA,"1007.5",20.8,20.2,92,63,0.2,79,0.4,NA,21.7553409216116,75.60516,0.160447690594302,25.1119501278612,19.904197984,-1.8511429376116
2018-09-15 02:00:00,0.23475,0.90875,22.3,81,359,0.6,357,0.9,0,0,NA,NA,"1007.4",20.8,20.1,93,7,0.1,29,0.1,NA,22.4375277355703,77.1933,0.13962434016961,25.1349696783174,20.124348953125,-2.31317878244528
2018-09-15 03:00:00,0.2358,0.9161,22,83,358,0.4,358,0.7,0,0,NA,NA,"1007.1",20.6,20.1,93,10,0,23,0.1,NA,22.4375277355703,77.39742,0.13962434016961,24.9901830653131,20.4914866165,-1.94604111907029
2018-09-15 04:00:00,0.2371,0.93165,21.9,85,2,0.5,1,0.8,0,0,NA,NA,"1007.1",20.5,19.8,95,10,0,32,0.1,NA,23.9502577236643,77.93862,0.0981029762513668,24.8116971240985,21.305644912125,-2.64461281153929
2018-09-15 05:00:00,0.23575,0.9311,22,84,357,0.3,357,0.6,0,0,NA,NA,"1007.3",20.5,20.1,93,9,0,16,0.1,NA,22.4375277355703,77.71746,0.13962434016961,24.9970649480927,21.2594038165,-1.17812391907028
2018-09-15 06:00:00,0.237466666666667,0.943383333333333,21.5,88,360,0.2,358,0.3,0,0,NA,NA,"1007.6",20.4,20,95,31,0.1,54,0.2,NA,23.9414857420654,78.26349,0.0991861619057945,24.7615083436152,21.912835994125,-2.0286497479404
2018-09-15 07:00:00,0.234516666666667,0.9485,22,86,1,0.1,18,0.2,0,0,NA,NA,"1008",20.6,20.4,93,15,0.1,32,0.1,NA,22.4237809142864,77.99529,0.141937594270773,25.1672209526368,22.1636343625,-0.260146551786381
2018-09-15 08:00:00,0.2284,0.936566666666667,23,82,5,0,9,0.1,0,0,NA,NA,"1008",21.1,21.3,89,0,0,359,0,NA,19.9067033439219,76.60755,0.234268446987253,26.0228279440399,21.4746889031667,1.56798555924482
2018-09-15 09:00:00,0.22035,0.906066666666667,24.3,75,10,0.2,12,0.6,0,0,NA,NA,"1008",21.8,22.4,82,0,0,356,0.1,NA,16.6609786674035,73.43529,0.406890201485045,27.180179072937,19.8605237606667,3.19954509326312
2018-09-15 10:00:00,0.21415,0.860316666666667,24.8,72,44,0.3,73,0.6,0,0,NA,NA,"1007.8",22.4,23.3,75,342,0.1,330,0.3,NA,14.3130707589991,69.21555,0.593170350696789,28.0975353997981,17.6819837437917,3.36891298479257
2018-09-15 11:00:00,0.210066666666667,0.8273,25.3,72,358,0.2,359,0.4,0,0,NA,NA,"1007.3",22.9,23.6,76,346,0.1,338,0.3,NA,14.5907861774929,66.46089,0.578673900928409,28.7148602909681,16.2759476785,1.68516150100705
2018-09-15 12:00:00,0.2065,0.809983333333333,25.8,71,12,0.3,9,0.6,0,0,NA,NA,"1006.9",23.4,24.1,74,345,0.2,343,0.4,NA,13.9975226861137,64.03347,0.643877733047639,29.2630478165127,15.570024702125,1.57250201601129
2018-09-15 13:00:00,0.2065,0.792016666666667,25.6,72,3,0.1,4,0.3,0,0,NA,NA,"1006.5",23.4,24.1,75,359,0,358,0,NA,14.2776375526123,62.83596,0.619113204853499,29.2630478165127,14.8999201387917,0.622282586179349
2018-09-15 14:00:00,0.208033333333333,0.79935,25.4,74,2,0.2,209,0.4,0,0,NA,NA,"1006.1",23.3,23.9,78,357,0,351,0.1,NA,15.1932432272341,63.25065,0.53903189562318,29.026330542271,15.179164552125,-0.014078675109138
2018-09-15 15:00:00,0.212666666666667,0.821333333333333,24.6,79,327,0.2,191,0.4,0,0,NA,NA,"1006.3",22.9,23.2,82,359,0,358,0,NA,16.6230188010205,65.09388,0.424796616129101,28.3205474145503,16.0584336,-0.564585201020506
2018-09-15 16:00:00,0.214833333333333,0.842816666666667,24.4,80,116,0.2,144,0.4,0,0,NA,NA,"1006.4",22.7,22.9,85,0,0,0,0,NA,17.8661379253816,67.23372,0.348335479073234,27.995267876233,16.9511502487917,-0.914987676589938
2018-09-15 17:00:00,0.216183333333333,0.857233333333333,24.4,80,155,0.4,159,0.6,0,0,NA,NA,"1006.5",22.5,22.8,85,0,0,0,0,NA,17.8710454868113,68.83245,0.346465924482698,27.7940848572338,17.5740048665,-0.297040620311257
2018-09-15 18:00:00,0.217366666666667,0.8597,24.4,80,154,0.4,155,0.7,0,0,NA,NA,"1006.3",22.3,22.8,84,1,0,1,0,NA,17.4414356983392,69.60114,0.369563652781544,27.6186654836009,17.6819832985,0.240547600160816
2018-09-15 19:00:00,0.216916666666667,0.864466666666667,24.4,81,4,0.1,220,0.2,0,0,NA,NA,"1006.7",22.3,23,84,345,0.1,342,0.2,NA,17.4317040670373,69.98796,0.373561439738262,27.6852730353694,17.8816707926667,0.449966725629313
2018-09-15 20:00:00,0.2159,0.8591,24.3,82,352,0,322,0.1,0,0,NA,NA,"1007",22.3,23.2,83,354,0,347,0.1,NA,17.0130090662884,69.75705,0.401196804121929,27.8362145978626,17.6340066265,0.620997560211553
2018-09-15 21:00:00,0.217666666666667,0.8639,24,83,359,0,357,0,0,0,NA,NA,"1007",22.2,22.8,84,0,0,359,0,NA,17.4414356983392,69.74415,0.369563652781544,27.5743291112166,17.8673966665,0.425960968160812
2018-09-15 22:00:00,0.219016666666667,0.866866666666667,23.8,83,357,0,348,0.1,0,0,NA,NA,"1006.8",22,22.5,84,358,0,358,0.1,NA,17.4559269212983,69.73512,0.363637127910061,27.3754902744641,18.0159302126667,0.560003291368378
2018-09-15 23:00:00,0.22,0.8733,23.6,84,357,0,347,0.1,0,0,NA,NA,"1006.6",21.9,22.4,86,359,0,358,0.1,NA,18.3425709300099,70.37922,0.316470156710591,27.2313458872989,18.3114908985,-0.0310800315098803
2018-09-16 00:00:00,0.219533333333333,0.878316666666667,23.7,85,353,0,330,0.2,0,0,NA,NA,"1006.4",21.9,22.5,86,0,0,360,0,NA,18.3376778404263,70.83009,0.318182486921304,27.2996814708074,18.5353715137917,0.197693673365389
